res,getrtime
1694118,20
1694118,45
1694118,20
1699807,85
1699807,14
1699807,42
1699807,20
1699807,54
1699807,2141
1705347,16
1705347,18
1705347,61
1705347,24
1705347,54
1710658,22
1710658,31
1710658,11
1710658,112
1710658,108
1715878,24
1715878,25
1715878,24
1715878,23
1715878,26
1721068,17
1721068,43
1721068,45
1721068,21
1721068,26
1726090,15
1726090,91
1726090,388
1726090,17
1726090,24
1731234,10
1731234,19
1731234,13
1731234,23
1731234,79
1736502,16
1736502,43
1736502,35
1736502,26
1736502,17
1741702,82
1741702,17
1741702,21
1741702,63
1741702,16
1746482,21
1746482,35
1746482,49
1746482,24
1746482,40
1752331,14
1752331,25
1752331,30
1752331,33
1752331,40
1757757,18
1757757,59
1757757,30
1757757,23
1757757,40
1762824,30
1762824,19
1762824,19
1762824,35
1762824,19
1767108,11
1767108,50
1767108,24
1767108,143
1767108,55
1771637,23
1771637,71
1771637,25
1771637,12
1771637,59
1776324,24
1776324,45
1776324,66
1776324,61
1776324,53
1781185,13
1781185,32
1781185,35
1781185,62
1781185,105
1785812,35
1785812,31
1785812,21
1785812,33
1785812,19
1790624,25
1790624,48
1790624,28
1790624,27
1790624,16
1794894,26
1794894,23
1794894,26
1794894,86
1794894,170
1799352,42
1799352,50
1799352,48
1799352,43
1799352,27
1799352,43
1804298,22
1804298,14
1804298,25
1804298,43
1804298,23
1808651,32
1808651,28
1808651,26
1808651,43
1808651,91
1813377,38
1813377,35
1813377,27
1813377,43
1813377,65
1817749,20
1817749,136
1817749,63
1817749,33
1817749,48
1822072,24
1822072,27
1822072,36
1822072,45
1822072,79
1826632,30
1826632,22
1826632,30
1826632,38
1826632,50
1830397,24
1830397,44
1830397,54
1830397,86
1830397,34
1834062,32
1834062,24
1834062,28
1834062,44
1834062,38
1837921,24
1837921,21
1837921,80
1837921,31
1837921,78
1841310,14
1841310,61
1841310,17
1841310,24
1841310,26
1844952,32
1844952,33
1844952,79
1844952,87
1844952,28
1848302,11
1848302,28
1848302,33
1848302,20
1848302,28
